,SE Marsh,G Gambhir,ST Jayasuriya,SR Watson,GC Smith,AC Gilchrist,SK Raina,RG Sharma,ML Hayden,SR Tendulkar,JH Kallis,CH Gayle,DA Warner,RV Uthappa,S Dhawan,V Kohli
0,16.0,16.0,16.0,6.0,15.0,19.0,6.0,8.0,13.0,11.0,7.0,14.0,8.0,10.0,13.0,8
1,25.0,33.0,29.0,22.0,19.0,35.0,18.0,10.0,20.0,25.0,19.0,43.0,14.0,26.0,24.0,20
2,45.0,49.0,45.0,31.0,37.0,42.0,24.0,21.0,33.0,34.0,28.0,57.0,22.0,39.0,39.0,33
3,65.0,61.0,76.0,35.0,54.0,52.0,45.0,50.0,39.0,54.0,39.0,60.0,37.0,50.0,61.0,41
4,80.0,77.0,88.0,44.0,71.0,81.0,55.0,61.0,53.0,70.0,51.0,79.0,42.0,65.0,70.0,54
5,89.0,85.0,101.0,71.0,97.0,93.0,67.0,78.0,59.0,84.0,69.0,82.0,53.0,76.0,84.0,58
6,105.0,94.0,114.0,83.0,109.0,98.0,84.0,84.0,77.0,94.0,88.0,96.0,56.0,85.0,86.0,77
7,114.0,105.0,147.0,89.0,113.0,108.0,102.0,99.0,90.0,104.0,97.0,108.0,68.0,106.0,95.0,87
8,139.0,116.0,166.0,108.0,130.0,121.0,121.0,110.0,101.0,112.0,103.0,122.0,78.0,130.0,106.0,95
9,151.0,127.0,198.0,133.0,143.0,134.0,131.0,116.0,116.0,123.0,108.0,134.0,92.0,146.0,120.0,116
10,165.0,142.0,213.0,144.0,154.0,153.0,137.0,127.0,124.0,139.0,121.0,141.0,117.0,154.0,130.0,127
11,170.0,148.0,237.0,149.0,165.0,178.0,144.0,139.0,137.0,161.0,138.0,142.0,126.0,164.0,150.0,140
12,192.0,156.0,245.0,160.0,175.0,187.0,153.0,161.0,155.0,170.0,144.0,150.0,141.0,170.0,163.0,152
13,206.0,167.0,249.0,181.0,189.0,210.0,159.0,173.0,166.0,188.0,161.0,163.0,146.0,179.0,182.0,162
14,216.0,171.0,271.0,191.0,201.0,216.0,170.0,178.0,185.0,189.0,168.0,180.0,150.0,198.0,191.0,174
15,234.0,183.0,295.0,201.0,207.0,221.0,188.0,202.0,198.0,202.0,183.0,207.0,169.0,201.0,206.0,183
16,251.0,200.0,304.0,201.0,229.0,239.0,192.0,217.0,213.0,211.0,192.0,214.0,180.0,220.0,214.0,193
17,266.0,213.0,310.0,209.0,245.0,247.0,202.0,230.0,226.0,234.0,203.0,242.0,196.0,231.0,221.0,195
18,277.0,228.0,324.0,229.0,256.0,252.0,212.0,243.0,246.0,240.0,213.0,254.0,207.0,242.0,229.0,206
19,287.0,240.0,351.0,242.0,275.0,265.0,225.0,250.0,260.0,258.0,220.0,268.0,224.0,244.0,242.0,217
20,302.0,255.0,358.0,262.0,279.0,276.0,235.0,266.0,276.0,273.0,226.0,282.0,232.0,248.0,255.0,229
21,312.0,260.0,373.0,285.0,292.0,283.0,246.0,276.0,297.0,280.0,243.0,304.0,242.0,267.0,271.0,241
22,330.0,274.0,386.0,311.0,310.0,289.0,254.0,292.0,307.0,293.0,249.0,315.0,256.0,274.0,283.0,251
23,352.0,285.0,412.0,323.0,322.0,308.0,265.0,298.0,315.0,306.0,256.0,331.0,269.0,279.0,299.0,260
24,366.0,304.0,414.0,330.0,346.0,316.0,269.0,320.0,325.0,308.0,264.0,337.0,281.0,288.0,304.0,270
25,378.0,315.0,423.0,348.0,353.0,326.0,285.0,331.0,334.0,325.0,278.0,352.0,292.0,301.0,314.0,285
26,390.0,324.0,437.0,354.0,356.0,338.0,297.0,350.0,343.0,336.0,282.0,371.0,300.0,309.0,328.0,299
27,406.0,343.0,451.0,361.0,368.0,356.0,304.0,364.0,347.0,353.0,295.0,386.0,308.0,313.0,342.0,308
28,418.0,354.0,454.0,373.0,385.0,368.0,311.0,367.0,358.0,367.0,301.0,399.0,320.0,318.0,363.0,320
29,433.0,364.0,467.0,392.0,389.0,381.0,317.0,383.0,386.0,385.0,310.0,413.0,327.0,339.0,378.0,325
30,442.0,381.0,477.0,405.0,399.0,387.0,333.0,393.0,408.0,404.0,323.0,435.0,332.0,358.0,392.0,340
31,446.0,390.0,488.0,417.0,406.0,406.0,345.0,400.0,429.0,410.0,336.0,452.0,340.0,376.0,400.0,357
32,469.0,405.0,495.0,429.0,417.0,424.0,351.0,408.0,441.0,419.0,349.0,460.0,357.0,396.0,409.0,369
33,487.0,408.0,514.0,436.0,424.0,429.0,356.0,414.0,450.0,429.0,353.0,482.0,370.0,412.0,416.0,384
34,502.0,414.0,529.0,455.0,439.0,439.0,364.0,427.0,460.0,441.0,359.0,500.0,386.0,419.0,420.0,391
35,517.0,423.0,535.0,476.0,441.0,452.0,378.0,448.0,476.0,455.0,376.0,504.0,406.0,431.0,431.0,399
36,526.0,425.0,547.0,490.0,447.0,461.0,401.0,461.0,491.0,470.0,385.0,512.0,425.0,440.0,436.0,407
37,542.0,431.0,554.0,506.0,453.0,469.0,428.0,473.0,493.0,478.0,403.0,521.0,442.0,450.0,445.0,419
38,552.0,438.0,561.0,521.0,456.0,481.0,446.0,483.0,504.0,485.0,416.0,531.0,459.0,462.0,460.0,434
39,558.0,453.0,585.0,533.0,478.0,506.0,461.0,506.0,508.0,496.0,429.0,546.0,472.0,472.0,479.0,449
